UID,day,session,position,paper_presentation,long_presentation,title,abstract,primary_author,authors_and_affil,authors,primary_subject,secondary_subject,SpecialTrack,abstract_short,StudentAuthor,StudentAuthor.1,AwardNominee,pdf_name,pdf_path,video,poster_pdf,thumbnail,slides_pdf,channel_url,slack_channel
103,1,1,0,Virtually,True,Interpreting Song Lyrics with an Audio-Informed Pre-trained Language Model,"Lyric interpretations can help people understand songs and their lyrics quickly, and can also make it easier to manage, retrieve and discover songs efficiently from the growing mass of music archives. In this paper we propose BART-fusion, a novel model for generating lyrics interpretations from lyrics and music audio that combines a large-scale pre-trained language model with an audio encoder. We employ a cross-modal attention module to incorporate the audio representation into the lyrics representation to help the pre-trained language model understand the song from an audio perspective, while preserving the language model's original generative performance. We also release the Song Interpretation Dataset, a new large-scale dataset for training and evaluating our model. Experimental results show that the additional audio information helps our model to understand words and music better, and to generate precise and fluent interpretations. An additional experiment on cross-modal music retrieval shows that interpretations generated by BART-fusion can also help people retrieve music more accurately than with the original BART.",Yixiao Zhang,"Yixiao Zhang (Centre for Digital Music, Queen Mary University of London)*; Junyan Jiang (Music X Lab, NYU Shanghai, MBZUAI); Gus Xia (Music X Lab, NYU Shanghai, MBZUAI); Simon Dixon (Centre for Digital Music, Queen Mary University of London)","Zhang, Yixiao*; Jiang, Junyan; Xia, Gus; Dixon, Simon",MIR fundamentals and methodology -> lyrics and other textual data,"Domain knowledge -> machine learning/artificial intelligence for music; Evaluation, datasets, and reproducibility -> novel datasets and use cases; MIR fundamentals and methodology -> multimodality; MIR fundamentals and methodology -> web mining, and natural language processing",No,"In this paper we propose BART-fusion, a novel model for generating lyrics interpretations from lyrics and music audio that combines a large-scale pre-trained language model with an audio encoder.",Yes,Yes,Yes,000001.pdf,https://archives.ismir.net/ismir2022/paper/000001.pdf,https://drive.google.com/open?id=1jjVL9ryCaUaHxdKU6uA51OSK5KuHajsk,https://drive.google.com/open?id=12pEH1F8X97iyUyzkvMtSxGBxPmvp5u89,https://drive.google.com/open?id=1RX-gNH83IsTWPWhmrm8MbkJG1UMlMNTO,,https://slack.com/app_redirect?channel=C04CY0MCR4H,p1-01-zhang
46,1,1,1,Virtually,False,Toward postprocessing-free neural networks for joint beat and downbeat estimation,"Recent deep learning-based models for estimating beats and downbeats are mainly composed of three successive stages---feature extraction, sequence modeling, and post processing. While such a framework is prevalent in the scenario of sequence labeling tasks and yields promising results in beat and downbeat estimations, it also indicates a shortage of the employed neural networks, given that the post-processing usually provides a notable performance gain over the previous stage. Moreover, the assumption often made for the post-processing is not suitable for many musical pieces. In this work, we attempt to improve the performance of joint beat and downbeat estimation without incorporating the post-processing stage. By inspecting a state-of-the-art approach, we propose reformulations regarding the network architecture and the loss function. We evaluate our model on various music data and show that the proposed methods are capable of improving the baseline approach without the aid of a post-processing stage.",Tsung-Ping Chen,"Tsung-Ping Chen (Institute of Information Science, Academia Sinica, Taiwan)*; Li Su (Institute of Information Science, Academia Sinica, Taiwan)","Chen, Tsung-Ping*; Su, Li",Musical features and properties,"Musical features and properties -> rhythm, beat, tempo",No,"We propose a post-processing-free deep learning model to tackle the joint beat and downbeat estimation task, and achieve a state-of-the-art performance on the Ballroom dataset.",No,Yes,No,000002.pdf,https://archives.ismir.net/ismir2022/paper/000002.pdf,https://drive.google.com/open?id=1NUkdMAyYMortu8ssU8WwasTMUPt7zEby,https://drive.google.com/open?id=1z_cJqeicGRJRs3ET12i1LK9mgcliKCKH,https://drive.google.com/open?id=1KPYQUt8mo5JhaiX287vyitUPdF_xb7TG,,https://slack.com/app_redirect?channel=C04CMQU7CPN,p1-02-chen
37,1,1,2,Virtually,False,Music Translation: Generating Piano Arrangements in Different Playing Levels,"We present a novel task of ""playing level conversion"": generating a music arrangement in a target difficulty level, given another arrangement of the same musical piece in a different level. For this task, we create a parallel dataset of piano arrangements in two strictly well-defined playing levels, annotated at individual phrase resolution, taken from the song catalog of a piano learning app.

In a series of experiments, we train models that successfully modify the playing level while preserving the musical 'essence'. We further show, via an ablation study, the contributions of specific data representation and augmentation techniques to the model's performance.

In order to evaluate the performance of our models, we conduct a human evaluation study with expert musicians. The evaluation shows that our best model creates arrangements that are almost as good as ground truth examples. Additionally, we propose MuTE, an automated evaluation metric for music translation tasks, and show that it correlates with human ratings.",Matan Gover,Matan Gover (Simply)*; Oded Zewi (Simply),"Gover, Matan*; Zewi, Oded",MIR tasks -> music generation,Domain knowledge -> machine learning/artificial intelligence for music; MIR fundamentals and methodology -> symbolic music processing; MIR tasks -> music synthesis and transformation; Musical features and properties -> musical style and genre,No,We trained a model to re-arrange piano songs to a different playing level while preserving the musical essence. Experts musicians rated the outputs of our model to be almost as good as ground truth reference examples.,No,Yes,No,000003.pdf,https://archives.ismir.net/ismir2022/paper/000003.pdf,https://drive.google.com/open?id=1vnrRdzLG0EjjbSHkv0fR7DMy1O-STkVA,https://drive.google.com/open?id=1Pj2q7_K2PhZQKvYemSIyLKh6or6d2V4w,https://drive.google.com/open?id=1zbK7SGgSxTlJXBJ4G1zV_O4kZU8hXM15,https://docs.google.com/presentation/d/14AemWMvDbMHhaQ2jFDxfzjzHFfhaHiFL6ZpNHncDsps/edit?usp=sharing,https://slack.com/app_redirect?channel=C04D92FRX5W,p1-03-gover
287,1,1,3,Virtually,False,Scaling Polyphonic Transcription with Mixtures of Monophonic Transcriptions,"Automatic Music Transcription (AMT), in particular the problem of automatically extracting notes from audio, has seen much recent progress via the training of neural network models on musical audio recordings paired with aligned ground-truth note labels.  However, progress is currently limited by the difficulty of obtaining such note labels for natural audio recordings at scale.  In this paper, we take advantage of the fact that for monophonic music, the transcription problem is much easier and largely solved via modern pitch-tracking methods.  Specifically, we show that we are able to combine recordings of real monophonic music (and their transcriptions) into artificial and musically-incoherent mixtures, greatly increasing the scale of labeled training data.  By pretraining on these mixtures, we can use a larger neural network model and significantly improve upon the state of the art in multi-instrument polyphonic transcription.  We demonstrate this improvement across a variety of datasets and in a ``zero-shot'' setting where the model has not been trained on any data from the evaluation domain.",Ian Simon,"Ian Simon (Google Research, Brain Team)*; Joshua Gardner (Google Research, Brain Team); Curtis Hawthorne (Google Research, Brain Team); Ethan Manilow (Google Research, Brain Team); Jesse Engel (Google Research, Brain Team)","Simon, Ian*; Gardner, Joshua; Hawthorne, Curtis; Manilow, Ethan; Engel, Jesse",MIR tasks -> music transcription and annotation,"Domain knowledge -> machine learning/artificial intelligence for music; Evaluation, datasets, and reproducibility -> novel datasets and use cases; MIR fundamentals and methodology -> music signal processing; MIR fundamentals and methodology -> symbolic music processing; MIR fundamentals and methodology -> web mining, and natural language processing",No,We improve upon the state of the art in multi-instrument music transcription by pretraining a large neural network model on mixtures of automatically-transcribed monophonic recordings from the wild.,No,Yes,No,000004.pdf,https://archives.ismir.net/ismir2022/paper/000004.pdf,https://drive.google.com/open?id=1mhRr6iciJlhkZpDOsaNCVhKc-SdmjM3Z,https://drive.google.com/open?id=1y1pEnQ0xy_xo5cIoRLbTgXOy9wbRc57P,https://drive.google.com/open?id=1-5-gfWb2dYm6A7jFDjTyZ5t8qLXPwtvx,,https://slack.com/app_redirect?channel=C04CK88202F,p1-04-simon
100,1,1,4,"In-person, in Bengaluru",False,Attention-based audio embeddings for query-by-example,"An ideal audio retrieval system efficiently and robustly recognizes a short query snippet from an extensive database. However, the performance of well-known audio fingerprinting systems falls short at high signal distortion levels. This paper presents an audio retrieval system that generates noise and reverberation robust audio fingerprints using the contrastive learning framework. Using these fingerprints, the method performs a comprehensive search to identify the query audio and precisely estimate its timestamp in the reference audio. Our framework involves training a CNN to maximize the similarity between pairs of embeddings extracted from clean audio and its corresponding distorted and time-shifted version. We employ a channel-wise spectral-temporal attention mechanism to capture salient time indices and spectral bands in the CNN features. The attention mechanism enables the CNN to better discriminate the audio by giving more weight to the salient spectral-temporal patches in the signal. Experimental results indicate that our system is efficient in computation and memory usage while being more accurate, particularly at higher distortion levels, than competing state-of-the-art systems and scalable to a larger database. ",Anup Singh,"Anup Singh (IDLab, Department of Electronics and Information Systems, imec - Ghent University, Belgium, Department of Electrical Engineering, Indian Institute of Technology Kanpur, India)*; Kris Demuynck (IDLab, Department of Electronics and Information Systems, imec - Ghent University, Belgium); Vipul Arora (Department of Electrical Engineering, Indian Institute of Technology Kanpur, India)","Singh, Anup*; Demuynck, Kris; Arora, Vipul",MIR tasks -> fingerprinting,MIR tasks -> indexing and querying,No,"CNN enhanced by spectral-temporal attention mechanism generates discriminative robust audio embeddings, useful for query-by-example applications.",Yes,Yes,No,000005.pdf,https://archives.ismir.net/ismir2022/paper/000005.pdf,https://drive.google.com/open?id=1G96VBsQfpdqjnGhdFlj8ZA1U0l3D8q_d,https://drive.google.com/open?id=1LzpJd3xJpw2Nv5S4kOCbpkvupENNH9_9,https://drive.google.com/open?id=12mad31jT1ycN8UOpq0lWeMPrVI80ezo3,https://docs.google.com/presentation/d/1yYEjTjfA8erqyyyAS0j-PC-qVZFhiDjn_fzhu27hrOA/edit?usp=sharing,https://slack.com/app_redirect?channel=C04CMQUQM8U,p1-05-singh
61,1,1,5,Virtually,False,SIATEC-C: Computationally efficient repeated pattern discovery in polyphonic music,"The use of point-set representations of music enable repeated pattern discovery
to be performed on polyphonic music. The discovery of patterns containing polyphony is also enabled by the use of point-set representations. The SIA and SIATEC algorithms discover repeated patterns in point-sets by
computing maximal translatable patterns and their translational equivalence classes.
While the algorithms are relatively efficient, their application to larger pieces
of music is not viable due to quadratic space complexity.
This paper introcudes a novel algorithm, SIATEC-C, for repeated pattern discovery in point-set representations of music. The algorithm discovers repeated patterns and finds all of their occurrences, while
running with subquadratic space complexity. The algorithm can also provide significant running
time improvements over the comparable SIATEC algorithm.
The computational performance of the algorithm is compared with SIATEC. The accuracy of the algorithm
is also evaluated on the JKU-PDD data set.",Otso Björklund,Otso Björklund (University of Helsinki)*,"Björklund, Otso*",MIR tasks -> pattern matching and detection,MIR fundamentals and methodology -> symbolic music processing,No,A novel algorithm for computationally efficient repeated pattern discovery in polyphonic symbolic music that enables larger data sets than before.,Yes,No,No,000006.pdf,https://archives.ismir.net/ismir2022/paper/000006.pdf,https://drive.google.com/open?id=1TsSHHxL4DJ2OuYyUyDpVkF1CwwEj2Lt8,https://drive.google.com/open?id=1DFqkRIunJGAHGYWIAIbJrIwg0dLNPaC2,https://drive.google.com/open?id=1aKycjVCV_TI_2mlIJ5cD7RFsFhXAwaZR,,https://slack.com/app_redirect?channel=C04CKB84P4J,p1-06-björklund
109,1,1,6,"In-person, in Bengaluru",False,Tailed U-Net: Multi-Scale Music Representation Learning,"Self-supervised learning has steadily been gaining traction in recent years. In music information retrieval (MIR), one promising recent application of self-supervised learning is the CLMR framework (contrastive learning of musical representations). CLMR has shown good performance, achieving results on par with state-of-the-art end-to-end classification models, but it is strictly an encoding framework. It suffers the characteristic limitation of any encoder that it cannot explicitly combine multi-timescale information, whereas a characteristic feature of human audio perception is that we tend to perceive all frequencies simultaneously. To this end, we propose a generalization of CLMR that learns to extract and explicitly combine representations across different frequency resolutions, which we coin the tailed U-Net (TUNe). TUNe architectures combine multi-timescale information during a decoding phase, similar to U-Net architectures used in computer vision and source separation, but have a tail added to reduce sample-level information to a smaller pre-defined number of representation dimensions. The size of the decoding phase is a hyperparameter, and in the case of a zero-layer decoding phase, TUNe reduces to CLMR. The best TUNe architectures, however, require less training time to match CLMR performance, have superior transfer learning performance, and are competitive with state-of-the-art models even at dramatically reduced dimensionalities.
",Marcel A Vélez Vásquez,"Marcel A Vélez Vásquez (Music Cognition Group · Institute for Logic, Language, and Computation · University of Amsterdam)*; John Ashley Burgoyne (Music Cognition Group · Institute for Logic, Language, and Computation · University of Amsterdam)","Vélez Vásquez, Marcel A*; Burgoyne, John Ashley",Domain knowledge -> machine learning/artificial intelligence for music,"Domain knowledge -> representations of music; MIR fundamentals and methodology -> music signal processing; Musical features and properties -> musical affect, emotion and mood; Musical features and properties -> musical style and genre; Musical features and properties -> representations of music",No,"We propose TUNe, a generalization of the CLMR framework for music representation learning, inspired by the U-Net architectures used for source separation, that includes a decoding phase in addition to the CLMR encoding steps, thereby enabling multi-time-scale integration and better parameter efficiency without seriously impacting state-of-the-art performance.",Yes,Yes,No,000007.pdf,https://archives.ismir.net/ismir2022/paper/000007.pdf,https://drive.google.com/open?id=1kQbuoxXuO1i1oOevGfvLLGJxYzmzx346,https://drive.google.com/open?id=1Gi0Zi7lOvfBM8EVNHvHJ6pUh9VXiwEs7,https://drive.google.com/open?id=1DW5rwje8Zjy9MlVC_cYzi7FBnS8GXYLX,https://drive.google.com/open?id=1c6XiB8VqfQMPFyocInoigXpBjRQgR1wk,https://slack.com/app_redirect?channel=C04CCP2DG5C,p1-07-vásquez
85,1,1,7,Virtually,False,DDSP-based Singing Vocoders: A New Subtractive-based Synthesizer and A Comprehensive Evaluation,"A vocoder is a conditional audio generation model that converts acoustic features such as mel-spectrograms into waveforms. Taking inspiration from Differentiable Digital Signal Processing (DDSP), we propose a new vocoder named SawSing for singing voices. SawSing synthesizes the harmonic part of singing voices by filtering a sawtooth source signal with a linear time-variant finite impulse response filter whose coefficients are estimated from the input mel-spectrogram by a neural network. As this approach enforces phase continuity, SawSing can generate singing voices without the phase-discontinuity glitch of many existing vocoders. Moreover, the source-filter assumption provides an inductive bias that allows SawSing to be trained on a small amount of data. Our evaluation shows that SawSing converges much faster and outperforms state-of-the-art generative adversarial network- and diffusion-based vocoders in a resource-limited scenario with only 3 training recordings and a 3-hour training time.",Da-Yi Wu,"Da-Yi Wu (Academia Sinica)*; Wen-Yi Hsiao (Taiwan AI Labs); Fu-Rong Yang (National Tsing Hua University); Oscar D Friedman (470 Music Group); Warren Jackson (PARC); scott bruzenak (470 Music Group); Yi-Wen  Liu (National Tsing Hua University); Yi-Hsuan Yang (Academia Sinica, Taiwan AI Labs)","Wu, Da-Yi*; Hsiao, Wen-Yi; Yang, Fu-Rong; Friedman, Oscar D; Jackson, Warren; bruzenak, scott; Liu, Yi-Wen ; Yang, Yi-Hsuan",MIR tasks -> music synthesis and transformation,"Domain knowledge -> machine learning/artificial intelligence for music; MIR fundamentals and methodology -> music signal processing; MIR tasks -> music generation; Musical features and properties -> timbre, instrumentation, and singing voice",No,"Based on differentiable digital signal processing, we propose a lightweight and training-efficient sawtooth-based substractive singing vocoder that can reconstruct the audio waveform from a mel spectrogram with comparable quality to state-of-the-art neural network-based vocoders.",No,No,No,000008.pdf,https://archives.ismir.net/ismir2022/paper/000008.pdf,https://drive.google.com/open?id=1SDxWncOrKS39FNOKv09dnFGFUWN_gLZp,https://drive.google.com/open?id=1C7YKJs6kRSEAV9QHikcDd2yPpMgeqVMo,https://drive.google.com/open?id=1cf0bz_-8AOJ3ylqDPbXmvkIocK0QZgtP,,https://slack.com/app_redirect?channel=C04C4QPEXC7,p1-08-wu
117,1,1,8,"In-person, in Bengaluru",False,Equivariant self-supervision for musical tempo estimation,"Self-supervised methods have emerged as a promising avenue for representation learning in the recent years since they alleviate the need for labeled datasets, which are scarce and expensive to acquire. 
Contrastive methods are a popular choice for self-supervision in the audio domain, and typically provide a learning signal by forcing the model to be invariant to some transformations of the input. These methods, however, require measures such as negative sampling or some form of regularisation to be taken to prevent the model from collapsing on trivial solutions. 
In this work, instead of invariance, we propose to use equivariance as a self-supervision signal to learn audio tempo representations from unlabelled data. We derive a simple loss function that prevents the network from collapsing on a trivial solution during training, without requiring any form of regularisation or negative sampling.
Our experiments show that it is possible to learn meaningful representations for tempo estimation by solely relying on equivariant self-supervision, achieving performance comparable with supervised methods on several benchmarks. 
As an added benefit, our method only requires moderate compute resources and therefore remains accessible to a wide research community.",Elio Quinton,Elio Quinton (Universal Music Group)*,"Quinton, Elio*",Musical features and properties -> representations of music,"Musical features and properties -> rhythm, beat, tempo",No,"In this work, instead of invariance, we propose to use equivariance as a self-supervision signal to learn audio tempo representations from unlabelled data.",No,No,No,000009.pdf,https://archives.ismir.net/ismir2022/paper/000009.pdf,https://drive.google.com/open?id=1vhS9TpAf5qRwlP6rJXTbrYkZcB6D1TqZ,https://drive.google.com/open?id=1V7heVpCGbctSX1GJA-TOQWPIH5MQ0OKj,https://drive.google.com/open?id=1PQ7_Ir1nW8-Z13OwBIRHVpqm_huprFNl,https://drive.google.com/open?id=1ZCUvEzuQjkw-5Sk5HfkxDfyvrwTK4Ere,https://slack.com/app_redirect?channel=C04CGCUJQJZ,p1-09-quinton
90,1,1,9,Virtually,False,How Music features and Musical Data Representations Affect Objective Evaluation of Music Composition: A Review of CSMT Data Challenge 2020,"Tools and methodologies for distinguishing computer-generated melodies from human-composed melodies have a broad range of applications from detecting copyright infringement through the evaluation of generative music systems to facilitating transparent and explainable AI. This paper reviews a data challenge on distinguishing computer-generated melodies from human-composed melodies held in association with the Conference on Sound and Music Technology (CSMT) in 2020. An investigation of the submitted systems and the results are presented first. Besides the structure of the proposed models, the paper investigates two important factors that were identified as contributors to good model performance: the specific music features and the music representation used. Through an analysis of the submissions, important melody-related music features have been identified. Encoding or representation of the music in the context of neural network modes has also been found to significantly impact system performance through an experiment where the top-ranked system was re-implemented with different input representations for comparison purposes. Besides demonstrating the feasibility of developing an objective music composition evaluation system, the investigation presented in this paper also reveals some important limitations of current music composition systems opening opportunities for future work in the community.",Yuqiang Li,Yuqiang Li (Xi’an Jiaotong-Liverpool University)*; Shengchen Li (Xi’an Jiaotong-Liverpool University); George Fazekas (Queen Mary University of London),"Li, Yuqiang*; Li, Shengchen; Fazekas, George","Evaluation, datasets, and reproducibility -> evaluation methodology","Evaluation, datasets, and reproducibility -> evaluation metrics; Musical features and properties -> melody and motives; Musical features and properties -> representations of music; Musical features and properties -> rhythm, beat, tempo",No,Pitch-based music features and appropriate input representation are vital in developing neural network models for identifying computer-generated melodies.,Yes,Yes,No,000010.pdf,https://archives.ismir.net/ismir2022/paper/000010.pdf,https://drive.google.com/open?id=1Z3JKyr8si0qTBYch4VK9dQyUEBvY3iJa,https://drive.google.com/open?id=1BJ40v5h1FPGquMXF7c2VVHm2P0EM98R1,https://drive.google.com/open?id=1E2V2AqnYPwxxlPCA_h8p3ia0vGnavqQN,,https://slack.com/app_redirect?channel=C04CK86BGAX,p1-10-li
