UID,Paper Title,Author Names,Abstract,reviewer,Correct paper?,Paper checklist ok?,Paper link,Video checklist ok?,Video link,Captions checklist ok?,Captions link,Poster checklist ok?,Poster link,Thumbnail checklist ok?,Thumbnail link,Optional Funfacts?,Funfacts link,All ok?,comments,channel_url,slack_channel
423,mshoxxDB - a Versioned Dataset for Electronic Music,Michael Taenzer (Fraunhofer IDMT / UPF)*,"Deep learning in Music Information Retrieval (MIR) relies on diverse datasets to cover various musical genres and instrumentation, ensuring robust model training and performance. The introduction of the mshoxxDB dataset aims to address the gap in low-resource data for electronic music, featuring 18 full-length songs and offering per-track MIDI files, multi-track files, mixture files, and extensive metadata for various MIR applications. This dataset spans multiple electronic music sub-genres and provides a resource for advancing research in tasks such as Automatic Music Transcription, Multi-Pitch Estimation, and Source Separation, fostering innovation in the field.",CN,1,1,https://drive.google.com/file/d/1qn5vZMrDevqve76l-M29qO0dl3ZULMor/view,1,https://drive.google.com/file/d/1H6N229-8QDOXCv9-aCw4AvZP-dlzktzA/view,1,https://drive.google.com/file/d/1QzviYy_DGWqDqqhJMcfmmhIHw39kCE-i/view,1,https://drive.google.com/file/d/1OdVtAaDdE45sEBsicWNEYSHT9_Y24w1m/view,1.0,https://drive.google.com/file/d/1gnrJrGScpLSwr5Poirx1Kf-xqNHSZS57/view,0,,1,,https://ismir2024.slack.com/archives/C0800QNARM0,lbd-423-mshoxxdb-a-versioned
424,MusicGen-Chord: Advancing Music Generation through Chord Progressions and Interactive Web-UI,Jongmin Jung (Sogang University)*; Andreas Jansson (Replicate); Dasaem Jeong (Sogang University),"MusicGen is a music generation language model (LM) that can be conditioned on textual descriptions and melodic features. We introduce MusicGen-Chord, which extends this capability by incorporating chord progression features. This model modifies one-hot encoded melody chroma vectors into multi-hot encoded chord chroma vectors, enabling the generation of music that reflects both chord progressions and textual descriptions. Furthermore, we developed MusicGen-Remixer, an application utilizing MusicGen-Chord to generate remixes of input music conditioned on textual descriptions. Both models are integrated into Replicate’s web-UI using cog, facilitating broad accessibility and user-friendly controllable interaction for creating and experiencing AI-generated music.",CN,1,1,https://drive.google.com/file/d/15WUU9cp9hgU8i3pDvVpqvGS5QVzOgxE5/view,1,https://drive.google.com/file/d/1XbSX99ikb7f2t5_ZTUuXqC7EZR0tTb-7/view,1,https://drive.google.com/file/d/1SQhbrdzGKLO4P0Q1PBXHNgsh3F1_MSsT/view,1,https://drive.google.com/file/d/1HM3YuOYhuiBOy_TUIm0TrBgVWm8jw2Pl/view,,https://drive.google.com/file/d/1Pe6aFXRzFYa2e5C-48c9-OPIm071BHKw/view,0,,1,,https://ismir2024.slack.com/archives/C07V86HKJA2,lbd-424-musicgen-chord-advancing
425,Optical Music Recognition for Jeongganbo Notation of Korean Court Music,DongMin Kim (Sogang University); Danbinaerin Han (KAIST); Dasaem Jeong (Sogang University)*; Jose J. Valero-Mas (University of Alicante),"The Jeongganbo notation, the first music notation system in East Asia capable of jointly expressing pitch and duration, has been extensively used in the Korean music tradition since its invention in the 15th century. 
 While the Optical Music Recognition (OMR) field has addressed the issue of automatically transcribing music sheets into digital formats in a number of music notations from the Western tradition, no previous research has considered Jeongganbo scores. 
 In this context, This work proposes a framework for the automatic recognition and transcription of Korean court music Jeongak (정악) in Jeongganbo notation utilizing synthetic data. 
 Our evaluations show performance rates close to 90% success, validating the proposed approach.",CN,1,1,https://drive.google.com/file/d/16RIc7-4zAKJtHXd27VZ13WP6yth1hCNn/view,1,https://drive.google.com/file/d/1ltMP6z1MIDCk-Kd4U5gL8yvIhUV01x7P/view,1,https://drive.google.com/file/d/1L2Mu1kAvv7sX_FXrtUj3R_cBfsgmA6ld/view,1,https://drive.google.com/file/d/1MqNrICoBJsbIdayRN5hRVO5PmeHdAqYL/view,1.0,https://drive.google.com/file/d/1zAoBb1zRsm2LatuXMCmIUKn9cGa6Oh_1/view,0,,1,"check generated captions, srt linking failed",https://ismir2024.slack.com/archives/C0800QNMXNE,lbd-425-optical-music-recognition
426,symusic: A swift and unified toolkit for symbolic music processing,"Yikai Liao (Beijing University of Posts and Telecommunications); Zhongqi Luo (Qiyin Technology Co., Ltd.)*; Yue Wang (China Conservatory of Music); Yujie Wu (殷渝杰);","This paper introduces symusic, a swift and unified toolkit for symbolic music processing. It provides high-level APIs for symbolic music manipulation, and an optimized IO engine which supports multiple file formats. Symusic addresses key challenges in symbolic music processing by offering exceptional speed, multi-format support, flexible time unit conversion, and comprehensive batch operations. With up to 1000 times faster parsing than existing libraries, symusic is poised to accelerate large-scale music analysis and generation. Code and pre-built package of symusic are available at Github and PyPI.",CN,1,1,https://drive.google.com/file/d/18xgV3eYD8CcxqqKpXWMRoMs8fo-r2mcW/view,1,https://drive.google.com/file/d/1IVbILS3hEESbeEedw0XiUMGYDJme85bW/view,1,https://drive.google.com/file/d/1EovSqHdKGEkxIh6tMYVs1cEX2qFeFlLt/view,1,https://drive.google.com/file/d/1jnQsgtl6Un9t0qwZem6Hf5pAhw9zNy_Z/view,1.0,https://drive.google.com/file/d/1iELDh8e1VFbQE_tBROq8LfwqK7zuuAE4/view,0,,1,,https://ismir2024.slack.com/archives/C07V86J1U4W,lbd-426-symusic-a-swift
427,Facing the Music: Tackling Singing Voice Separation in Cinematic Audio Source Separation,"Karn N Watcharasupat (Georgia Institute of Technology)*; Chih-Wei Wu (Netflix, Inc.); Iroro Orife (Netflix)","Cinematic audio source separation (CASS), as a standalone problem of extracting individual stems from their mixture, is a fairly new subtask of audio source separation. A typical setup of CASS is a three-stem problem, with the aim of separating the mixture into the dialogue (DX), music (MX), and effects (FX) stems. Given the creative nature of cinematic sound production, however, several edge cases exist; some sound sources do not fit neatly in any of these three stems, necessitating the use of additional auxiliary stems in production. One very common edge case is the singing voice in film audio, which may belong in either the DX or MX or neither, depending heavily on the cinematic context. In this work, we demonstrate a very straightforward extension of the dedicated-decoder Bandit and query-based single-decoder Banquet models to a four-stem problem, treating non-musical dialogue, instrumental music, singing voice, and effects as separate stems. Interestingly, the query-based Banquet model outperformed the dedicated-decoder Bandit model. We hypothesized that this is due to a better feature alignment at the bottleneck as enforced by the band-agnostic FiLM layer.",CN,1,1,https://drive.google.com/file/d/12CDsHhFfkc9ckL7Uq4Qv2JW9pld7Eqh9/view,1,https://drive.google.com/file/d/1ki1T4ihG9Shl8f9Ya-Kb4L3QRATtA_bs/view,1,https://drive.google.com/file/d/1JZ2eNaNUnlgq_l3YnEdLl3bXcayPzaQI/view,1,https://drive.google.com/file/d/1Y-p1V4gBxiCPZwdKnAsvnhSR6Y4VSqbW/view,1.0,https://drive.google.com/file/d/1Gww3RX35DWMO6YSSw3LxinhNS2QMnV9B/view,0,,1,,https://ismir2024.slack.com/archives/C07V86J8P7Y,lbd-427-facing-the-music
428,Groove Transfer VST for Latin American Rhythms,Anmol Mishra (Universitat Pompeu Fabra)*; Behzad Haki (Universitat Pompeu Fabra); Satyajeet Prabhu (Universitat Pompeu Fabra); Martín Rocamora (Universitat Pompeu Fabra),"Latin music has intricate rhythms with microtming and dy-
 namic variations. Modern deep learning based generative
 systems generate realistic sounding drum outputs. How-
 ever, most rhythm generation datasets focus have a focus
 on pop and rock music which leads to the generations be-
 ing biased towards those categories. In this work, we
 tend to specifically develop a system that can learn the
 groove in Brazilian Rhythms",CN,1,1,https://drive.google.com/file/d/1zP0OeCT9vkuGHi7maR1VfxKMtkTNY2oY/view,1,https://drive.google.com/file/d/1Epl7nPpqYfFe1MZiKvrGTF12zbC9NlqK/view,1,https://drive.google.com/file/d/1sVjoP5q1ctAJM_GOPWC4asY3ni1sDLm-/view,1,https://drive.google.com/file/d/1mLMuFrtFGootQueXxVRY8xpxoxCaLBXM/view,1.0,https://drive.google.com/file/d/1RoadvkgPW2IoLahl-XnrSwPxlbj70Z5I/view,0,,1,,https://ismir2024.slack.com/archives/C0800QPEY5Q,lbd-428-groove-transfer-vst
429,OPTIMIZING MUSIC CAPTIONING WITH REINFORCEMENT LEARNING AND RETRIEVAL-AUGMENTED METHODS,Haesun Joung (Seoul National University)*; Jinwoo Lee (Huawei Tech.); Kyogu Lee (Seoul National University),.,CN,1,1,https://drive.google.com/file/d/1ixP6C6n0h7rPab2XP99RvmkyF67UPbFp/view,1,https://drive.google.com/file/d/1K7cLr1Cc5HM3DIRI9AbhxZRnRL4AzcLH/view,1,https://drive.google.com/file/d/1k8liHReZEp2TazjekSGK8LlzQJxR8T2G/view,1,https://drive.google.com/file/d/1U8lidoFbUGUg-QGN1T7740YLN0tAmbmG/view,1.0,https://drive.google.com/file/d/1RnI1gVRomnHPQ54YWxmQucUMTqE6_D_3/view,0,,1,,https://ismir2024.slack.com/archives/C07V86JR8KY,lbd-429-optimizing-music-captioning
430,Conditional piano music generation by flow matching for performance style transfer,Ahyeon Choi (Seoul National University)*; Dohoon Lee (Seoul National University); Kyogu Lee (Seoul National University),"This study explores the generation of classical piano performances conditioned on individual performers' expressive styles. 
 The interpretative diversity in classical music naturally results in comparisons and preferences for different interpretations of the same piece, fostering a desire to explore performances in varied styles.
 However, most research in music style transfer has primarily focused on timbre and compositional changes, with limited success in transferring performance style due to the difficulty of separating style from music content.
 To address this, we propose a novel approach that utilizes easily obtainable audio data and employs a flow matching model to generate high-quality, style-conditioned audio performances.
 We created datasets from pianists Seong-Jin Cho and Lang Lang to demonstrate our method, successfully generating performances in their distinct styles. 
 This work expands the possibilities for performance style transfer and can potentially be applied to other performers' styles with additional audio data.",CW,1,1,https://drive.google.com/file/d/15hR_XNq47IFlH4ihot9cAXpDRIIGyQPz/view?usp=drive_link,1,https://drive.google.com/file/d/1jv0guf8Arbni5tonywdaF7nOae6ZYHsf/view?usp=drive_link,1,https://drive.google.com/file/d/1KkAQaAR5wNQuUxNWnsgKhnQCSTF7gNZn/view?usp=drive_link,1,https://drive.google.com/file/d/1UdTdLxhBDiHTwjd5eNFGJFhze8ORzQqZ/view?usp=drive_link,1.0,https://drive.google.com/file/d/1LUKFgN7Hna-tSPkCuN6CAMq1rTrdTYmD/view?usp=drive_link,0,,1,video is a bit small (720x332),https://ismir2024.slack.com/archives/C0803A923N0,lbd-430-conditional-piano-music
431,A Token-based Neural Synthesizer for Instrument Cloning and Text-to-Instrument,Kyungsu Kim (Seoul National University)*; Junghyun Koo (Sony AI); Sungho Lee (Seoul National University); Haesun Joung (Seoul National University); Kyogu Lee (Seoul National University),"TokenSynth is a neural synthesizer that uses neural audio codecs and transformers to generate single-instrument musical audio from MIDI information and CLAP embeddings. The model can perform instrument cloning, text-to-instrument synthesis, and text-guided timbre manipulation without fine-tuning. This enables various creative sound design applications and intuitive timbre control. The timbral similarity to target audio/text, and synthesis accuracy were evaluated using objective measures.",CW,1,1,https://drive.google.com/file/d/1Cv7fa1PVb5pOJPwVbnixFYCWYuVYCQTM/view?usp=drive_link,1,https://drive.google.com/file/d/1UkRqiH-3DRoBIEqInGM77hJTpN-asMWD/view?usp=drive_link,1,https://drive.google.com/file/d/1MBvNvRu5x471Be1QiOycnLmyGlT_Pyus/view?usp=drive_link,1,https://drive.google.com/file/d/1RymfZkkYjJGgNN_T_QTw56c6ZDrMGD4M/view?usp=drive_link,1.0,https://drive.google.com/file/d/1-2yOJEWBCwqmn5bs8bErBStvCPdEtD7f/view?usp=drive_link,0,,1,,https://ismir2024.slack.com/archives/C07V08WRV71,lbd-431-a-token-based
432,SOURCE-LEVEL PITCH AND TIMBRE EDITING FOR MIXTURES OF TONES USING DISENTANGLED REPRESENTATIONS,Yin-Jyun Luo (Queen Mary University of London)*; Kin Wai Cheuk (Sony AI); Woosung Choi (Sony AI); Toshimitsu Uesaka (Sony Group Corporation); Keisuke Toyama (Sony Group Corporation); Wei-Hsiang Liao (Sony Group Corporation); Simon Dixon (Queen Mary University of London); Yuki Mitsufuji (Sony AI),"We propose a model to learn latent representations of pitch and timbre of each individual source of instrument tones from a mixture of instruments. We employ variational autoencoders to train the model using a query-based inference network. Given a mixture, the model allows for precise source-level attribute editing, e.g., instrument or pitch replacement, by manipulating the pitch and timbre latents. On the synthetic audio clips of chords compiled using the JSB Chorales dataset, our quantitative evaluation protocol shows empirical success of the model on both pitch-timbre disentanglement of individual sources and source-level attribute manipulation of mixtures.",CW,1,1,https://drive.google.com/file/d/1yEb_vANrctDvvcxrEHZr1Vichy9ZExAe/view?usp=drive_link,https://drive.google.com/file/d/1yEb_vANrctDvvcxrEHZr1Vichy9ZExAe/view?usp=drive_link,https://drive.google.com/file/d/1UmGP_4m4bNYI0DakfnTUQQS1ovPS9rUW/view?usp=drive_link,1,https://drive.google.com/file/d/1iIVvILGtxCPlVA3tX_m3p_vkoPDXieue/view?usp=drive_link,1,https://drive.google.com/file/d/1NFbMAd-CNEpF2QWM_X7B-vIUUHgo79tD/view?usp=drive_link,1.0,https://drive.google.com/file/d/18k8jiWdqpKD2v-Yx-3ykmA0sVuYn0HJJ/view?usp=drive_link,0,,1,,https://ismir2024.slack.com/archives/C0800N3BYDR,lbd-432-source-level-pitch
